             -1|          U Vel|     8167-788-1|             -1|         221280|             -1|    08167-00788
             -1|    tet01 Ori D|     4774-930-1|          26224|             -1|             -1|             -1
             -1|      psi08 Aur|    2942-1708-1|          33133|          59589|             -1|    02942-01708
          Ancha|        tet Aqr|    5803-1996-1|         110003|         145991|             -1|    05803-01996
             -1|      eps Mon B|     141-2451-1|          30422|         113811|             -1|    00141-02451
             -1|        tau Dra|    4456-2107-1|          94648|           9366|             -1|    04456-02107
             -1|        zet Boo|             -1|          71795|         101145|             -1|    00917-01471
             -1|         29 Ari|    1216-1511-1|          11843|          92998|             -1|    01216-01511
             -1|         29 Ser|    1495-1511-1|          77249|         101729|             -1|    01495-01511
             -1|        ksi Leo|     824-1978-1|          46771|          98627|             -1|    00824-01978
             -1|      alf UMa B|    4146-1274-2|             -1|             -1|             -1|             -1
             -1|         47 Cet|    5276-2115-1|           6748|         147812|             -1|    05276-02115
             -1|          6 Mon|    5367-1382-1|          29885|         151318|             -1|    05367-01382
             -1|         26 Boo|    1482-1131-1|          71115|          83395|             -1|    01482-01131
             -1|      sig01 Tau|    1266-1419-1|          21673|          94051|             -1|    01266-01419
       Kitalpha|        alf Equ|     536-2354-1|         104987|         126662|             -1|    00536-02354
             -1|         35 Gem|     759-2861-1|          32814|          96179|             -1|    00759-02861
             -1|         42 UMa|     3829-470-1|          53064|          27793|             -1|    03829-00470
             -1|         21 Cas|    4307-2167-1|           3572|           4216|             -1|    04307-02167
             -1|          a Car|    8595-3311-1|          45080|         236693|             -1|    08595-03311
             -1|        tau PsA|    7492-1465-1|         109422|         213602|             -1|             -1
             -1|      pi.02 UMi|    4563-1084-1|          76695|           2588|             -1|    04563-01084
             -1|         49 Per|    2877-1168-1|          19302|          57000|             -1|             -1
             -1|      eps02 Lyr|             -1|          91926|             -1|             -1|             -1
             -1|        eps CrA|    7421-2296-1|          93174|         210781|             -1|    07421-02296
             -1|          c UMa|    4135-1915-1|          45333|          14819|             -1|             -1
             -1|         28 Lib|     6175-500-1|          75110|         159187|             -1|    06175-00500
