# Star common name translation file
#
# Proper name	    Bayer 	   TYCHO-2		Hipparcos	SAO		UCACT		GSC
#		  Designation
#========================================================================================================================
                |                |    TYC         |         HIP    |         SAO    |     UCACT      |       GSC
                |        zet Aql |    1052-3027   |          93747 |         104461 |                |    01052-03027
                |         40 UMa |     3826-748   |          52650 |          27758 |                |    03826-00748
                |         15 CVn |    3022-2308   |          64217 |          63374 |                |    03022-02308
                |          I Vel |    8584-5050   |          46283 |         236972 |                |    08584-05050
                |    kap02 Sgr B |    7957  410-2 |                |                |                |               
                |        pi. Dra |    4229  852   |          95081 |          18299 |                |    04229-01852
                |      zet01 Mus |    9227  903   |          60329 |         251868 |                |    09227-01903
                |         10 Lyn |    4097  681   |          31763 |          13910 |                |    04097-01681
                |          6 Sgr |    6255  958   |          88258 |         160998 |                |    06255-01958
                |      eps Equ C |     521-2813   |         103571 |         126429 |                |               
                |         95 Tau |    1830-2127   |          21961 |          76727 |                |    01830-02127
                |        kap Cap |    6370  175   |         107188 |         164593 |                |    06370-01175
                |    del03 Tau A |    1269  246   |                |                |                |               
                |        del PsA |    7508  312   |         113246 |         214189 |                |    07508-01312
                |       38 Lyn B |    2499  655-2 |                |                |                |               
                |      omi02 Cyg |    3576-2157   |          99848 |          49385 |                |    03576-02157
                |        tau Aur |    2911  795   |          27483 |          58465 |                |    02911-01795
                |         35 UMa |    4150  301   |          51401 |          15196 |                |    04150-01301
                |         24 Sgr |    6858  412   |          91004 |         186981 |                |    06858-01412
      Praecipua |         46 LMi |    2521-2271   |          53229 |          62297 |                |    02521-02271
                |        pi. Tuc |    9134-2059   |           1647 |         248167 |                |    09134-02059
                |        iot Mic |    7975  347   |         102693 |         230379 |                |    07975-01347
                |        tau Tau |    1830-2129   |          21881 |          76721 |                |    01830-02129
                |        tet Boo |    3478  332   |          70497 |          29137 |                |               
                |      kap02 Aps |    9272-2585   |          76750 |         257307 |                |               
                |         50 LMi |     1978-987   |          53492 |          81591 |                |    01978-00987
                |       90 Leo B |    1438-2839   |                |                |     534-051685 |               
                |         61 Psc |     1194  76   |           3730 |          74280 |                |    01194-00176
                |         31 Cam |    3762-2640   |          27971 |          25447 |                |    03762-02640
                |        ome Boo |    2020  409   |          73568 |          83624 |                |    02020-01409
                |         50 Hya |     6738-710   |          69415 |         182349 |                |               
                |          4 Sco |    6787-2513   |          77984 |         183931 |                |    06787-02513
                |        rho Her |                |          85112 |                |                |               
           Keid |      omi02 Eri |    5312-2325   |          19849 |         131063 |                |               
                |         33 Psc |     4669-996   |            443 |         128572 |                |    04669-00996
                |          4 Cas |    4283  498   |         115590 |          20614 |                |    04283-01498
                |          U Sge |     1607-913   |          94910 |         104711 |                |    01607-00913
                |         40 Tau |       79-826   |          18957 |         111585 |                |    00079-00826
                |         44 Hya |    6620  355   |          51718 |         178979 |                |    06620-01355
                |         85 Vir |     6123-582   |          67139 |         158147 |                |    06123-00582
                |        del Sge |    1619-3542   |          97365 |         105259 |                |               
                |       10 Ari A |    1761-2538   |                |                |                |               
                |          N Car |    8535-2126   |          31407 |         234589 |                |               
                |         54 Vir |                |                |         157798 |                |               
                |         30 Eri |    4724  421   |          18141 |         130789 |                |    04724-01421
                |          h Ori |     702-2789   |          23983 |         112467 |                |    00702-02789
                |         11 CMa |    5391-3304   |          32492 |         151919 |                |    05391-03304
                |         17 Mon |     747-2464   |          32533 |         114410 |                |    00747-02464
                |        iot Del |    1096  683   |         101800 |         106322 |                |    01096-01683
                |        zet PsA |    6966  508   |         111138 |         191196 |                |    06966-01508
                |      zet02 Cnc |    1381  641   |                |          97646 |                |               
                |          i Eri |    7032  403   |          18213 |         194608 |                |    07032-01403
                |          2 Cam |                |          21730 |          24744 |                |    03732-01030
                |          36485 |    4766-2444   |                |         132221 |                |    04766-02444
      Mothallah |        alf Tri |    1763-3028   |           8796 |          74996 |                |    01763-03028
                |        ome Car |    9214-2842   |          50099 |         250885 |                |               
                |         85 Tau |    1265  173   |          21137 |          93993 |     530-008987 |    01265-01173
                |         47 Oph |     5075-717   |          85365 |         141665 |                |               
                |         19 Hya |    5445  780   |          44883 |         136604 |                |    05445-01780
                |         12 Vir |     869  162   |          59608 |          99997 |                |    00869-01162
                |        eta Cyg |    2677  816   |          98110 |          69116 |                |    02677-01816
                |      pi. Cep B |    4601-3531-2 |                |                |                |               
                |        phi Vir |                |          70755 |         139951 |                |    04977-01458
                |          5 Gem |    1881  593   |          29379 |          78079 |                |    01881-01593
                |          5 UMi |    4559-3017   |          70692 |           8024 |                |    04559-03017
                |          2 Lac |    3607-2600   |         110351 |          51904 |                |    03607-02600
                |      ksi02 Cen |    8254-2208   |          64004 |         223909 |                |    08254-02208
                |         16 Dra |    3879-2961   |          81290 |          30012 |                |    03879-02961
                |         29 Com |     888  121   |          62541 |         100283 |                |    00888-01121
                |        gam PsA |                |         112948 |         214153 |                |    07508-01313
                |         14 Aqr |     5772-753   |         105019 |         145251 |                |    05772-00753
                |        kap Psc |     578  415   |         115738 |         128186 |                |    00578-01415
                |         64 Aqr |    5815  322   |         111843 |         165217 |                |    05815-01322
                |         13 Cep |    3976  833   |         108165 |          33864 |                |    03976-01833
                |        iot Vol |    9182  412   |          32912 |         256344 |                |    09182-01412
        Nashira |        gam Cap |    6362  078   |         106985 |         164560 |                |    06362-01078
                |        eta Tuc |    9130  766   |         118121 |         255609 |                |    09130-01766
                |        bet Lup |    7832-2490   |          73273 |         225335 |                |    07832-02490
                |      gam CrA B |    7422  737-2 |                |                |                |               
                |      tet02 Mic |    7983  197   |         105696 |         230667 |                |    07983-01197
                |         14 CVn |     2534-304   |          63901 |          63338 |                |    02534-00304
                |         11 Lac |    3226-2285   |         111944 |          52251 |                |    03226-02285
                |          9 Cha |    9403  987   |          42794 |         256549 |                |    09403-01987
                |      gam Equ B |    1108-2583-2 |                |                |                |               
                |        134 Tau |     723  241   |          27511 |          94888 |                |    00723-01241
                |         12 Cet |     4675-412   |           2353 |         128791 |                |    04675-00412
                |        mu. Per |    3332-2426   |          19812 |          39404 |                |               
                |    zet01 Cnc A |    1381  638   |                |                |                |               
                |        mu. Pic |                |          31137 |         234564 |     157-007716 |    08547-01744
                |      lam Cyg A |    2699-3425   |                |                |                |               
                |          h Aql |      5136-44   |          93717 |         142996 |                |    05136-00044
                |          e Ser |    5113  192   |          91322 |         142444 |                |    05113-01192
                |         72 Cyg |    3183-3283   |         106551 |          71480 |                |    03183-03283
                |      gam01 Del |    1634-3057   |         102531 |         106475 |                |               
                |        2 And B |    3224-3432-2 |                |                |                |               
                |          1 Lyn |    4096-2358   |          29919 |          13787 |                |    04096-02358
                |          c Pup |    7645-3246   |          37819 |         198398 |                |    07645-03246
                |        tet Cyg |    3564-3157   |          96441 |          31815 |                |               
                |          3 CVn |    3457  877   |          60122 |          44127 |                |    03457-01877
                |        ome Cap |     6930-987   |         102978 |         189781 |                |    06930-00987
                |        eta Vol |    9205  959   |          41003 |         256505 |                |    09205-01959
                |         39 Tau |    1262  646   |          19076 |          76438 |                |               
                |      tet02 Sgr |    7448  356   |          98421 |         211717 |                |    07448-01356
                |        sig And |    2273-2081   |           1473 |          53798 |                |               
                |         56 Cet |     6429-656   |           9061 |         167416 |                |               
                |        mu. Aqr |    5757  943   |         103045 |         144895 |                |    05757-01943
                |         60 Cnc |     814-2519   |          43851 |          98235 |                |    00814-02519
                |          7 Boo |     1470-940   |          67787 |         100751 |                |    01470-00940
        Mizar A |      zet01 UMa |    3850  385   |                |          28737 |                |               
                |      kap Tuc B |    9136  759   |                |         248345 |                |    09136-01759
                |      ksi Sco C |                |                |         159666 |     394-061370 |               
                |      lam Gem A |    1346  396   |                |                |     533-040057 |               
                |         38 Vir |    4953  222   |          62875 |         139022 |                |               
                |         54 Dra |    3928  728   |          94490 |          31497 |                |    03928-01728
                |         45 Eri |    4734  338   |          21139 |         131270 |                |    04734-01338
                |        mu. Vir |     4997-942   |          71957 |         140090 |                |               
                |      tet02 Cru |    8978-6111   |          58867 |         251717 |                |    08978-06111
                |        sig For |    6454  206   |          17618 |         168820 |                |    06454-01206
                |        nu. Cet |      52  681   |          12093 |         110635 |                |    00052-01681
                |         27 Vir |     878  101   |          61937 |         100207 |                |    00878-01101
                |        104 Psc |      627-607   |           7710 |          92556 |                |    00627-00607
                |          2 Peg |    2188-2203   |         106140 |          89752 |                |    02188-02203
                |          h Psc |    1746  870   |           4510 |          74395 |                |    01746-01870
                |        nu. Oph |     5678-956   |          88048 |         142004 |                |    05678-00956
                |         17 Dra |                |          81292 |          30013 |                |               
                |        rho Peg |    1153  559   |         113186 |         127839 |                |    01153-01559
                |         50 Dra |    4583-2839   |          92112 |           9250 |                |    04583-02839
                |        101 Tau |     1281-792   |          23214 |          94248 |                |    01281-00792
                |        eta Cep |    4246  967   |         102422 |          19019 |                |               
                |         21 Cap |    6349  248   |         103703 |         164061 |                |    06349-01248
                |        gam Men |    9378  692   |          25918 |         256201 |                |    09378-01692
          Sabik |        eta Oph |                |          84012 |         160332 |                |               
                |      eps Per B |    2868  624   |                |                |     651-017866 |               
                |         10 UMa |    2986  978   |          44248 |          42642 |                |               
                |         23 Cas |    4307-2166   |           3721 |           4226 |                |    04307-02166
                |      gam01 Sgr |    6854-4373   |          88567 |         186237 |                |    06854-04373
                |         71 Cnc |    1401  139   |          44637 |          98358 |                |    01401-01139
                |         66 Vir |    4965  204   |          65420 |         139324 |                |    04965-01204
                |          6 Com |      879-919   |          59819 |         100012 |                |    00879-00919
                |       84 Cet A |    4699  214   |                |                |                |               
                |          p Car |    8956-4324   |          51576 |         251006 |                |    08956-04324
                |        104 Her |    2622  995   |          89172 |          66737 |                |    02622-01995
                |        bet PsA |    7497  511   |         111188 |         213883 |                |    07497-01511
                |        eps Lib |    5598  052   |          75379 |         159234 |                |    05598-01052
                |        sig Ori |    4771  196   |          26549 |         132406 |     437-010887 |    04771-01196
                |        103 Aqr |    6407  132   |         116889 |         165834 |                |    06407-01132
                |          b Oph |     6825-462   |          85340 |         185401 |                |    06825-00462
                |          i Cen |    7270-2399   |          67153 |         204812 |                |               
                |          J Pup |    8139-4578   |          38518 |         219111 |                |    08139-04578
                |          b Tau |     677  116   |          20901 |          93960 |     516-008027 |    00677-01116
                |         41 Cyg |    2685  920   |         101076 |          70095 |                |    02685-01920
                |         53 Her |    2589  303   |          82587 |          65627 |     609-053685 |    02589-01303
                |         70 Vir |     898  042   |          65721 |         100582 |                |               
                |        kap Gru |     8824-447   |         113957 |         247711 |                |    08824-00447
                |        lam Men |    9171  180   |          27369 |         256239 |                |    09171-01180
                |         13 Ori |     702-2790   |          23852 |         112436 |                |               
                |         22 Cam |    3757  364   |          26587 |          25298 |                |    03757-01364
                |      lam01 Tuc |    9135  891   |           4084 |         248269 |                |    09135-01891
                |          4 And |    3623-2738   |         114200 |          52711 |                |    03623-02738
                |          g Boo |    3475  198   |          70791 |          29165 |                |               
                |    tet02 Ori C |                |                |         132329 |                |               
                |         68 Oph |     430-3748   |          88290 |         123035 |                |    00430-03748
                |          1 Ser |     4987-823   |          73193 |         120758 |                |    04987-00823
                |        bet Ara |    8732-2866   |          85258 |         244725 |                |    08732-02866
                |        omi Sgr |    6295-2492   |          93683 |         187643 |                |    06295-02492
                |         56 Tau |    1276  621   |          20186 |          76551 |                |    01276-01621
                |      sig01 Cnc |                |          43584 |          61102 |                |    02485-02094
          Biham |        tet Peg |     565  999   |         109427 |         127340 |                |    00565-01999
                |          S Her |      987-257   |          82516 |         102434 |                |    00987-00257
                |      chi03 For |                |          16156 |         194318 |                |    07027-01211
                |         30 Dra |    3523  685   |          87212 |          30591 |                |    03523-01685
                |         37 Eri |    4732  971   |          19483 |         131001 |                |    04732-01971
                |         10 Lib |     6159-921   |          72702 |         158860 |                |    06159-00921
                |        tet Cha |    9398-2715   |          40888 |         256503 |                |    09398-02715
                |          P Cyg |    3151-3442   |         100044 |          69773 |                |    03151-03442
                |          m Car |    8941-2077   |          47391 |         250653 |                |    08941-02077
                |         35 Vul |    2195-2392   |         105966 |          89720 |                |    02195-02392
                |          3 Peg |     555  661   |         106783 |         126940 |                |    00555-01661
                |        lam Tel |    8759-2961   |          93148 |         245834 |                |    08759-02961
                |        116 Tau |    1296-2340   |          25555 |          94566 |                |    01296-02340
                |      omi02 CMa |    6523-3722   |          33977 |         172839 |                |    06523-03722
                |          6 Pup |    5985  590   |          38211 |         153454 |                |    05985-01590
                |         78 Cnc |     1401-384   |          44918 |          98389 |                |    01401-00384
                |         73 UMa |    3844  299   |          60795 |          28394 |                |    03844-01299
                |         28 Vir |    5528  385   |          61969 |         138920 |                |    05528-01385
                |         13 Her |     954  024   |          79634 |         102034 |                |    00954-01024
                |        iot Gem |    1918-2339   |          36046 |          79374 |                |    01918-02339
                |          5 Cet |     4663-363   |            664 |         128602 |                |    04663-00363
         Alnasl |      gam02 Sgr |    7391-2710   |          88635 |         209696 |                |    07391-02710
                |        nu. Phe |    8033  232   |           5862 |         215428 |                |               
                |         51 Aql |    5729-2871   |          97650 |         163036 |                |               
                |          m Tau |                |          23835 |          94332 |                |               
                |         44 Cas |    4032  676   |           8046 |          11941 |                |    04032-01676
                |        bet LMi |    2517  209   |          51233 |          62053 |                |    02517-01209
                |          7 Sgr |    6842  740   |          88380 |         186163 |                |               
                |        bet Sge |    1606-2342   |          96837 |         105133 |                |    01606-02342
                |        del Cae |    7585  480   |          21060 |         216850 |                |    07585-01480
                |          5 Aur |                |          23261 |          57559 |                |    02899-00369
                |        del Hya |     223  795   |          42313 |         116965 |                |    00223-01795
                |        del Hor |    7580  257   |          19515 |         216682 |                |               
                |         14 Com |    1991  897   |          60697 |          82310 |                |    01991-01897
        CANOPUS |        alf Car |    8534-2277   |          30438 |         234480 |                |               
                |        omi Dra |    3930  790   |          92512 |          31218 |                |    03930-01790
        Mizar B |      zet02 UMa |    3850  386   |                |          28738 |                |               
                |        psi Per |    3317-3033   |          16826 |          38980 |                |    03317-03033
                |         27 Com |    1446-2471   |          62356 |         100252 |                |    01446-02471
                |        pi. Psc |     624  324   |           7535 |          92536 |                |    00624-01324
                |        rho Tel |    8386-2339   |          93815 |         245921 |                |    08386-02339
                |         21 Hya |    4891  371   |          45184 |         136662 |                |    04891-01371
                |      pi. Lup A |                |                |         225426 |                |               
                |          n Cen |    7776  664   |          62896 |         203907 |                |    07776-01664
                |       32 Eri B |    4721  217   |                |         130805 |                |    04721-01217
                |         12 Mon |     154-2464   |          31159 |         114023 |                |               
                |         15 Sge |    1621  499   |          98819 |         105635 |                |               
                |         53 Cam |    4126-2446   |          39261 |          14402 |                |    04126-02446
                |        lam Ara |    8351-2577   |          86486 |         228257 |                |               
                |       80 Tau B |    1265  175-2 |                |                |                |               
                |      kap02 Lup |    8298-4185   |          74380 |         225526 |                |    08298-04185
                |        phi Aql |    1079-3514   |          98103 |         105438 |                |    01079-03514
                |      ups04 Eri |    7040  534   |          20042 |         194902 |                |    07040-01534
                |        psi Ser |                |          77052 |         121152 |                |    00355-01288
                |          c Sgr |    6900-2236   |          98688 |         188844 |                |    06900-02236
                |        alf Pyx |    7141-2725   |          42828 |         199546 |                |    07141-02725
                |         29 Cam |    3758-2423   |          27592 |          25403 |                |    03758-02423
                |         56 Vir |     5540-978   |          64625 |         157811 |                |    05540-00978
                |         57 Vir |    6116  050   |          64725 |         157823 |                |               
                |      mu.02 Cnc |    1388  791   |          39780 |          79959 |                |    01388-01791
                |         44 Psc |       3  464   |           2006 |         109192 |                |    00003-01464
                |         30 Aqr |    5230  812   |         108868 |         145836 |                |    05230-01812
                |         63 And |     3302-908   |          10944 |          37960 |                |               
                |          O Vel |     8585-547   |          47717 |         237268 |                |    08585-00547
                |        psi Crt |    6087  749   |          54742 |         156528 |                |    06087-01749
                |          4 Com |    1986-2431   |          59468 |          82178 |                |    01986-02431
                |          p Tau |    1822-2315   |          19513 |          76485 |                |    01822-02315
                |         25 Gem |    1892  135   |          32019 |          78636 |                |    01892-01135
                |      zet Boo B |     917  471   |                |                |                |               
                |        iot PsA |    7490  839   |         107380 |         213258 |                |    07490-01839
                |          b Cnc |     813-2941   |          42917 |          98089 |                |    00813-02941
                |         58 Leo |     265  270   |          53807 |         118610 |                |    00265-01270
                |         87 Aqr |     5820  55   |         114164 |         146515 |                |    05820-00155
                |        gam Cam |    4335-2106   |          17959 |           5006 |                |    04335-02106
                |         16 LMi |    2993  588   |          48256 |          61707 |                |    02993-01588
                |         21 Per |    2330-2043   |          13775 |          56031 |                |    02330-02043
                |        kap Cnc |     815-2146   |          44798 |          98378 |                |    00815-02146
                |        eta Tel |    8765-2571   |          95261 |         246055 |                |    08765-02571
                |        ksi Gem |     754-2356   |          32362 |          96074 |                |               
                |        rho Leo |     838  485   |          51624 |         118355 |                |    00838-01485
                |         40 Leo |    1423  351   |          50564 |          99065 |                |               
                |        ksi Hya |    7216  261   |          56343 |         202558 |                |               
                |        del Men |    9372  455   |          20049 |         258372 |                |    09372-01455
                |      zet03 Lib |    6184  358   |          75944 |         159307 |                |    06184-01358
         ALHENA |        gam Gem |    1329  746   |          31681 |          95912 |                |               
                |          f Dra |    4421-2880   |          85805 |          17526 |                |    04421-02880
                |          E Car |    9199-2885   |          44626 |         256583 |                |    09199-02885
                |      mu.01 Gru |    7999  569   |         109908 |         231055 |                |    07999-01569
                |       26 Dra B |    4199  513-2 |                |                |                |               
                |      tet Gru B |    8012  248-2 |                |                |                |               
                |          4 Her |    3060  881   |          77986 |          45790 |                |    03060-01881
                |        3 Cen A |    7283-2100   |                |                |                |               
        Mintaka |        del Ori |                |          25930 |         132220 |                |    04766-02445
         ACAMAR |      tet01 Eri |                |                |         216113 |                |               
                |         49 Eri |      82  777   |          21515 |         111928 |                |    00082-01777
                |         10 Hya |      224  41   |          42931 |         117088 |                |    00224-00141
                |         33 Leo |    1419  435   |          49850 |          98984 |                |    01419-01435
                |        del Dor |    8904  522   |          27100 |         249346 |                |               
                |        gam Pav |                |         105858 |         254999 |                |               
                |         25 Cyg |    2682-3762   |          98425 |          69231 |                |    02682-03762
                |        bet Cae |     7045  30   |          21861 |         195239 |                |               
                |         39 Com |                |          63948 |          82650 |                |    01456-00847
                |        lam Hyi |    9141-7804   |           3781 |         255710 |                |    09141-07804
                |         10 Per |    3694  454   |          11279 |          23304 |                |    03694-01454
                |         33 Vul |    1660  962   |         103511 |          89332 |                |    01660-01962
                |         70 Peg |    1168  611   |         115919 |         108638 |                |    01168-01611
                |          f Tau |     656  725   |          16369 |          93469 |                |    00656-01725
                |        eta Cen |    7814-3706   |          71352 |         225044 |                |    07814-03706
                |        chi Cas |    3683-2185   |           7294 |          22397 |                |    03683-02185
                |         15 Hya |    4876  546   |          43496 |         136345 |                |    04876-01546
                |      eta01 TrA |    9274-4090   |          81710 |         253649 |                |    09274-04090
                |          l Tau |    1290  638   |          23871 |          76971 |                |    01290-01638
                |    kap02 Sgr A |    7957  410   |                |                |                |               
                |      rho Oph D |     6794-550   |          80461 |         184377 |                |    06794-00550
         PHECDA |        gam UMa |    3833  034   |          58001 |          28179 |                |    03833-01034
                |          3 Lib |    6750  747   |          71652 |         182735 |                |    06750-01747
                |          7 Peg |     555  663   |         107151 |         127002 |                |    00555-01663
                |          1 Cam |                |          21148 |          24672 |                |    03732-01028
                |         96 Vir |    5558  726   |          69127 |         158385 |                |    05558-01726
                |          6 Vir |     865  308   |          58110 |         119111 |                |    00865-01308
                |        ups Phe |     7537-994   |           5300 |         215374 |                |    07537-00994
                |        chi Per |    3694-2581   |          10729 |          23149 |                |    03694-02581
                |         41 Ari |    1789  490   |          13209 |          75596 |                |    01789-01490
                |      pi.01 Oct |    9509  147   |          73540 |         258713 |                |    09509-01147
                |        tet Dra |    3883  543   |          78527 |          29765 |                |               
                |         71 UMa |    3837  071   |          60584 |          28375 |                |    03837-01071
                |         27 Sex |     4908-947   |          51135 |         137567 |                |    04908-00947
                |       35 Psc B |     595  126   |           1197 |         109088 |                |    00595-01126
                |         27 Cnc |     804  492   |          41400 |          97819 |                |    00804-01492
                |         26 Aqr |      543-450   |         107144 |         126997 |                |    00543-00450
                |          1 Psc |     569  947   |         113167 |         127836 |                |               
                |        mu. Eri |    4740  916   |          22109 |         131468 |                |               
                |         63 Ari |    1245  185   |          15737 |          75899 |                |    01245-01185
                |      phi01 Cnc |    1947  495   |          41377 |          80181 |                |    01947-01495
                |          e Psc |      25  379   |           5346 |         109697 |                |    00025-01379
                |      ups02 Pup |    7115-3017   |          35406 |         197837 |                |    07115-03017
                |         24 Aqr |                |         106942 |         145566 |                |               
                |        eta Cha |    9403  986   |          42637 |         256543 |                |    09403-01986
                |        phi And |                |           5434 |          36972 |                |    03268-01358
                |         30 Psc |     4669-997   |            154 |         147042 |                |               
                |        del Del |    1634-3055   |         102281 |         106425 |                |    01634-03055
                |         36 Oph |                |          84405 |                |                |               
                |        tet Lep |    5361  758   |          28910 |         151110 |                |    05361-01758
                |         52 Gem |    1900-2026   |          35025 |          79199 |                |    01900-02026
                |        eta Ser |     5102-416   |          89962 |         142241 |                |               
                |          g Lup |    7849-3219   |          76829 |         226064 |                |               
         THUBAN |        alf Dra |    4174  262   |          68756 |          16273 |                |    04174-01262
                |          9 LMi |    2500  007   |          46904 |          61561 |                |    02500-01007
                |         81 Vir |                |          66465 |         139447 |                |               
                |         54 Her |    1525  264   |          82802 |         102476 |                |    01525-01264
                |      chi01 Hya |    6644  331   |          54204 |         179514 |                |               
                |      tet Gru C |    8011  354   |         114112 |         231443 |     233  88277 |    08011-01354
                |         56 And |    2319  796   |           9021 |          55107 |                |    02319-01796
                |          2 Cyg |    2137-3101   |          95372 |          87159 |                |    02137-03101
                |         31 Cep |     4488-872   |         111532 |          10425 |                |    04488-00872
                |         75 UMa |    3847  127   |          60992 |          28408 |                |    03847-01127
                |        tet Scl |    6995  262   |            950 |         192388 |                |    06995-01262
                |          5 Com |    1444-2570   |          59501 |          82182 |                |    01444-02570
         MARKAB |        alf Peg |    1711-2475   |         113963 |         108378 |                |               
                |          G Cen |    8243-3043   |          60710 |         239948 |                |    08243-03043
                |       44 Cyg B |    2697  634-2 |                |                |                |               
                |      pi.01 Col |      7619  7   |          28957 |         217720 |                |    07619-00017
                |      sig CrB C |                |          79551 |                |     619-051946 |               
                |          3 Lyn |    4096  336   |          30278 |          13818 |                |    04096-01336
                |          8 And |    3644-2208   |         115022 |          52871 |                |               
                |          g Leo |    1961  429   |          48390 |          81054 |                |    01961-01429
                |     pi. Pup Ab |    7115-3019-2 |                |                |                |               
                |         69 Cet |      39  275   |          11021 |         110495 |                |    00039-01275
                |         45 Aql |    5145-2349   |          96807 |         143678 |                |    05145-02349
          Cujam |        ome Her |     971  433   |          80463 |         102153 |                |    00971-01433
                |       36 Oph B |                |                |         185199 |                |               
                |          7 And |    3631-2231   |         114570 |          52787 |                |    03631-02231
                |         11 Ori |    1282-2292   |          23607 |          94290 |                |    01282-02292
                |        kap For |    6433-2550   |          11072 |         167736 |                |    06433-02550
                |          4 Sex |     240  806   |          48273 |         117937 |                |    00240-01806
                |         12 Psc |    5244  064   |         115951 |         146735 |                |    05244-01064
                |          k Lup |    7835-2634   |          75501 |         206616 |                |               
                |        lam Aql |    5136-2357   |          93805 |         143021 |                |    05136-02357
                |     pi. Pup Aa |    7115-3019   |                |                |                |               
                |       84 Vir B |     311  612-2 |                |                |                |               
                |        nu. Cnc |    1950-2323   |          44405 |          80595 |                |    01950-02323
                |         89 Tau |    1266  417   |          21588 |          94043 |                |    01266-01417
                |          A Boo |    2552  081   |          69879 |          64053 |                |    02552-01081
                |          W Vel |      8604-52   |          50230 |                |                |    08604-00052
                |      lam Oph A |     386-2062   |                |                |                |               
                |      tet02 Tau |    1265  172   |          20894 |          93957 |     530-008822 |    01265-01172
                |         10 UMi |     4417-874   |          73808 |           8160 |                |    04417-00874
                |         20 Eri |    5874  098   |          16803 |         149063 |                |               
                |         19 Lyr |    2640-2019   |          94311 |          67946 |                |    02640-02019
                |        108 Vir |     326  427   |          72154 |         120642 |                |    00326-01427
                |        eta Leo |    1412  695   |          49583 |          98955 |                |    01412-01695
                |         84 Her |    2077-4273   |          86731 |          85360 |                |    02077-04273
                |          4 Cam |    3741  602   |          22287 |          24829 |                |    03741-01602
                |        rho Oct |     9513  32   |          76996 |         258731 |                |    09513-00132
                |        gam CrA |                |          93825 |         210928 |                |               
                |        zet Aur |    2899-2236   |          23453 |          39966 |                |    02899-02236
                |        mu. Hya |    6061  134   |          51069 |         155980 |                |    06061-01134
      SIG PEG A |         49 Peg |    1153  558   |         112935 |         127810 |                |               
       Torcular |        omi Psc |      622-574   |           8198 |         110110 |                |    00622-00574
                |         46 Psc |    1183  804   |           2213 |          91909 |                |    01183-01804
                |      sig03 Cnc |    2485-2095   |          44154 |          61177 |                |    02485-02095
                |        tet Mus |                |          64094 |         252162 |                |    08997-02337
                |         59 Eri |    5899  193   |          22325 |         149901 |                |    05899-01193
                |          c Cnc |     801  428   |          42265 |         116953 |                |    00801-01428
                |        mu. Aur |    2896-2101   |          24340 |          57755 |                |    02896-02101
                |         44 LMi |    1979-2576   |          52959 |          81542 |                |    01979-02576
                |        kap Eri |    8052  380   |          11407 |         215906 |                |    08052-01380
                |          b Her |                |          88745 |          66648 |                |    02621-02683
                |        eta Oct |    9511-2601   |          53702 |         258600 |                |    09511-02601
                |          q Vel |    7716-3704   |          50191 |         221895 |                |    07716-03704
                |        ups Leo |    4930  093   |          56647 |         138298 |                |    04930-01093
                |          a Cen |    7809-2783   |          70300 |         205497 |                |    07809-02783
                |         21 Peg |     1143-506   |         108875 |         107625 |                |    01143-00506
                |          l Leo |     849  444   |          52911 |          99305 |                |    00849-01444
                |          f Gem |    1365-2474   |          37300 |          97120 |                |    01365-02474
