# Star common name translation file
#
# Proper name	    Bayer 	   TYCHO-2		Hipparcos	SAO		UCACT		GSC
#		  Designation
#========================================================================================================================
                |                |    TYC         |         HIP    |         SAO    |     UCACT      |       GSC
                |        tau PsA |    7492  465   |         109422 |         213602 |                |               
                |      pi.02 UMi |    4563  084   |          76695 |           2588 |                |    04563-01084
                |         49 Per |    2877  168   |          19302 |          57000 |                |               
                |      eps02 Lyr |                |          91926 |                |                |               
                |        eps CrA |    7421-2296   |          93174 |         210781 |                |    07421-02296
                |          c UMa |    4135  915   |          45333 |          14819 |                |               
                |         28 Lib |     6175-500   |          75110 |         159187 |                |    06175-00500
                |         43 Oph |     6837-698   |          85084 |         185350 |                |    06837-00698
                |         38 Oph |                |          84605 |         185233 |                |    06820-00488
                |          f Cen |    8250-3266   |          63945 |         223900 |                |    08250-03266
                |      mu. Pic A |    8547  744   |                |                |                |               
                |        del Pic |    8525  313   |          29276 |         234359 |                |    08525-01313
                |         37 Cam |    3763-2582   |          29246 |          25597 |                |    03763-02582
                |         71 Vir |      895-494   |          65790 |         100592 |                |    00895-00494
                |       70 Oph B |     434-5212   |                |                |     463-073987 |               
       Alathfar |        mu. Lyr |    3108-2592   |          90191 |          66943 |                |    03108-02592
                |         51 Gem |    1346  397   |          34909 |          96638 |                |    01346-01397
                |          4 Dra |    4394  871   |          60998 |          15816 |                |    04394-01871
                |        alf Oct |     9465-412   |         104043 |         257879 |                |    09465-00412
                |      kap02 Cet |      60  705   |          15619 |         111142 |                |               
         ALTAIR |        alf Aql |    1058-3399   |          97649 |         125122 |                |    01058-03399
                |          k Hya |     6740-785   |          70306 |         182483 |                |               
                |        iot Ant |    7211-2295   |          53502 |         201927 |                |    07211-02295
                |       84 Vir A |     311  612   |                |                |                |               
                |      omi01 Cnc |    1394-2122   |          43970 |          98247 |                |    01394-02122
                |      nu.01 CMa |      5952-61   |          31564 |         151694 |                |    05952-00061
  Kaus Borealis |        lam Sgr |    6861-3180   |          90496 |         186841 |                |    06861-03180
                |          M Vel |    8176-2817   |          47175 |         221344 |                |    08176-02817
                |        lam Cnc |    1928  817   |          40881 |          80113 |                |    01928-01817
                |         19 PsA |     6970-820   |         112102 |         191337 |                |    06970-00820
                |         49 UMa |    3010-2498   |          53838 |          62354 |                |    03010-02498
                |      gam01 Nor |    8319  759   |          79790 |         226619 |                |    08319-01759
                |        kap Aql |    5156-3185   |          96483 |         143600 |                |    05156-03185
                |        iot Phe |     8020-969   |         116389 |         231675 |                |    08020-00969
                |          a Pup |    7650-3052   |          38414 |         219082 |                |    07650-03052
                |      del Ser B |                |                |         101623 |                |               
                |        bet Dor |    8883  641   |          26069 |         249311 |                |    08883-01641
                |        iot Men |    9386-2610   |          26264 |         256214 |                |    09386-02610
                |         30 Lyn |    3803  703   |          40875 |          26784 |                |    03803-01703
                |         32 Aqr |    5224  807   |         108991 |         145853 |                |    05224-01807
                |        pi. Cep |                |         114222 |          10629 |                |    04601-03531
                |      zet Ori A |    4771  188   |                |                |                |               
                |          5 Sgr |    6842  845   |          88142 |         186074 |                |    06842-01845
                |      ksi UMa B |    2520-2634-2 |                |                |                |               
                |         83 Vir |     6123-583   |          67057 |         158131 |                |    06123-00583
                |         17 Vul |    2154-4100   |          99080 |          88212 |                |    02154-04100
                |        ksi CrB |    2580-2438   |          80181 |          65254 |                |    02580-02438
                |        del Cru |    8645-2263   |          59747 |         239791 |                |    08645-02263
                |      zet Phe C |    8476  304   |                |                |                |               
                |        pi. Cen |                |          55425 |         238986 |                |               
                |        psi Cen |    7805-2696   |          70090 |         205453 |     261-071883 |    07805-02696
                |       30 Ari A |    1771  398   |          12189 |          75471 |                |    01771-01398
                |         63 Cet |    4690  109   |          10234 |         129739 |                |    04690-01109
                |         14 Vul |    2141-2712   |          98375 |          88016 |                |    02141-02712
                |       48 Cas A |    4315-2126   |                |                |                |               
                |        chi Dra |    4437  491   |          89937 |           9087 |                |               
                |         41 Cet |     5274-414   |           6048 |         129217 |                |    05274-00414
                |          d Cen |    7792-2393   |          65936 |         204545 |                |    07792-02393
                |          4 Ari |    1206  792   |           8387 |          92637 |                |    01206-01792
                |    omi02 Eri B |                |                |         131065 |                |               
                |         43 Cam |    4359-2043   |          33104 |          13986 |                |    04359-02043
        ALSHAIN |        bet Aql |     493-3355   |          98036 |         125235 |                |               
                |          e Eri |    7567  183   |          15510 |         216263 |                |               
                |       51 Psc B |      16  424   |                |         109263 |                |               
                |         78 Peg |    2257-2521   |         117073 |          91457 |                |    02257-02521
                |        eps Oct |    9483  157   |         110256 |         258928 |                |    09483-01157
                |      tet Sco B |    7892-7679-2 |                |                |     236  32813 |               
                |         10 Com |    1991  107   |          60123 |          82246 |                |    01991-01107
                |         16 Ser |     933  240   |          76425 |         101640 |                |    00933-01240
                |        145 CMa |    6537-3290   |          35210 |         173349 |                |    06537-03290
                |         39 LMi |     1979-726   |          52240 |          81463 |                |    01979-00726
                |        eps Lup |    7847-2505   |          75264 |         225712 |                |    07847-02505
                |         60 Her |     984-2436   |          83613 |         102584 |                |    00984-02436
                |         40 Cas |    4318-2488   |           7650 |           4453 |                |    04318-02488
                |        eps CrB |    2037  826   |          78159 |          84098 |                |    02037-01826
                |         11 Sco |    5620  384   |          79005 |         159715 |                |    05620-01384
                |         27 LMi |    2513  223   |          50860 |          62010 |                |    02513-01223
                |         20 Vir |      877-959   |          61246 |         100146 |                |    00877-00959
                |      gam Lup B |    7840  432   |                |                |                |               
                |        tet Car |    8965  765   |          52419 |         251083 |                |               
                |         93 Leo |    1443-2662   |          57565 |          81998 |                |    01443-02662
